episode,reward,steps
1529,10,11
1530,-4,16
1531,3,18
1532,-4,16
1533,-1,22
1534,11,10
1535,7,14
1536,-1,13
1537,-6,18
1538,-7,19
1539,9,12
1540,13,8
1541,-10,22
1542,10,11
1543,7,14
1544,4,17
1545,2,19
1546,-7,19
1547,5,16
1548,5,16
1549,-5,17
1550,9,12
1551,4,17
1552,3,18
1553,-7,19
1554,11,10
1555,6,15
1556,-3,15
1557,-14,17
1558,9,12
1559,10,11
1560,-4,16
1561,-4,16
1562,-1,13
1563,8,13
1564,-4,16
1565,8,13
1566,6,15
1567,4,17
1568,-9,21
1569,10,11
1570,9,12
1571,11,10
1572,-5,17
1573,7,14
1574,4,17
1575,6,15
1576,5,16
1577,2,19
1578,6,15
1579,8,13
1580,-10,22
1581,1,11
1582,5,16
1583,3,18
1584,-4,25
1585,0,12
1586,-4,16
1587,-7,19
1588,-9,21
1589,0,21
1590,-15,18
1591,11,10
1592,-5,17
1593,-5,17
1594,4,17
1595,8,13
1596,5,16
1597,5,16
1598,3,18
1599,-10,13
1600,-15,18
1601,3,18
1602,12,9
1603,9,12
1604,4,17
1605,-18,21
1606,-3,15
1607,8,13
1608,4,17
1609,-5,17
1610,4,17
1611,-12,15
1612,-6,18
1613,7,14
1614,5,16
1615,-24,18
1616,-3,15
1617,-10,22
1618,7,14
1619,-6,18
1620,7,14
1621,-1,22
1622,7,14
1623,-13,16
1624,4,17
1625,6,15
1626,-2,14
1627,8,13
1628,13,8
1629,4,17
1630,-1,13
1631,-6,18
1632,10,11
1633,-3,15
1634,-14,17
1635,11,10
1636,9,12
1637,0,12
1638,-3,24
1639,9,12
1640,-7,19
1641,3,18
1642,9,12
1643,7,14
1644,11,10
1645,9,12
1646,8,13
1647,4,17
1648,-7,19
1649,-5,17
1650,5,16
1651,13,8
1652,-5,17
1653,5,16
1654,6,15
1655,13,8
1656,-4,16
1657,10,11
1658,4,17
1659,11,10
1660,-5,17
1661,8,13
1662,-4,16
1663,5,16
1664,13,8
1665,12,9
1666,9,12
1667,4,17
1668,-8,20
1669,9,12
1670,-4,16
1671,-3,15
1672,6,15
1673,-5,17
1674,-8,20
1675,4,17
1676,5,16
1677,2,19
1678,7,14
1679,9,12
1680,9,12
1681,6,15
1682,10,11
1683,-4,16
1684,10,11
1685,4,8
1686,4,17
1687,10,11
1688,3,18
1689,-2,14
1690,6,15
1691,-3,15
1692,0,12
1693,-1,13
1694,6,15
1695,6,15
1696,11,10
1697,7,14
1698,-4,16
1699,6,15
1700,-4,16
1701,13,8
1702,-1,22
1703,9,12
1704,11,10
1705,-4,16
1706,6,15
1707,7,14
1708,-3,15
1709,-5,17
1710,-8,20
1711,-3,15
1712,-8,20
1713,-2,14
1714,-6,18
1715,-13,16
1716,-2,14
1717,11,10
1718,10,11
1719,5,16
1720,-11,23
1721,-20,23
1722,4,17
1723,6,15
1724,5,16
1725,6,15
1726,6,15
1727,4,17
1728,2,19
1729,9,12
1730,-12,15
1731,0,21
1732,11,10
1733,1,11
1734,1,20
1735,9,12
1736,3,18
1737,5,16
1738,-6,18
1739,1,11
1740,-2,14
1741,-12,15
1742,-15,18
1743,5,16
1744,5,16
1745,0,12
1746,7,14
1747,5,16
1748,5,16
1749,7,14
1750,-2,14
1751,7,14
1752,10,11
1753,14,7
1754,7,14
1755,9,12
1756,12,9
1757,-1,13
1758,7,14
1759,4,17
1760,0,21
1761,-9,21
1762,9,12
1763,8,13
1764,8,13
1765,7,14
1766,-2,14
1767,8,13
1768,2,19
1769,12,9
1770,-3,15
1771,5,16
1772,10,11
1773,-3,15
1774,8,13
1775,8,13
1776,-1,13
1777,15,6
1778,-4,16
1779,-6,18
1780,6,15
1781,-2,14
1782,-3,15
1783,12,9
1784,7,14
1785,7,14
1786,-7,19
1787,5,16
1788,-14,17
1789,8,13
1790,0,12
1791,-7,19
1792,-6,18
1793,7,14
1794,5,16
1795,6,15
1796,-15,18
1797,14,7
1798,-4,16
1799,3,18
1800,13,8
1801,4,17
1802,6,15
1803,9,12
1804,-23,17
1805,11,10
1806,5,16
1807,-8,20
1808,1,20
1809,-2,14
1810,6,15
1811,13,8
1812,-14,17
1813,6,15
1814,-7,19
1815,-1,13
1816,2,19
1817,5,16
1818,5,16
1819,11,10
1820,0,12
1821,11,10
1822,-7,19
1823,-5,17
1824,4,17
1825,-1,13
1826,-8,20
1827,8,13
1828,-6,18
1829,0,12
1830,-1,13
1831,8,13
1832,2,19
1833,12,9
1834,7,14
1835,9,12
1836,-6,18
1837,10,11
1838,8,13
1839,8,13
1840,7,14
1841,-8,20
1842,10,11
1843,-23,17
1844,4,17
1845,7,14
1846,8,13
1847,-5,17
1848,-19,22
1849,7,14
1850,3,18
1851,-3,15
1852,0,12
1853,1,20
1854,-19,22
1855,3,18
1856,7,14
1857,2,19
1858,0,12
1859,-3,15
1860,9,12
1861,-3,15
1862,-5,17
1863,-4,16
1864,-2,14
1865,-15,18
1866,10,11
1867,11,10
1868,9,12
1869,-19,22
1870,5,16
1871,6,15
1872,-18,21
1873,9,12
1874,9,12
1875,13,8
1876,-3,15
1877,2,10
1878,6,15
1879,8,13
1880,-2,14
1881,14,7
1882,6,15
1883,2,19
1884,-18,21
1885,9,12
1886,5,16
1887,8,13
1888,8,13
1889,-4,16
1890,10,11
1891,10,11
1892,6,15
1893,9,12
1894,3,18
1895,14,7
1896,-4,16
1897,7,14
1898,-3,15
1899,-3,15
1900,-3,15
1901,0,21
1902,10,11
1903,-1,13
1904,-12,15
1905,5,16
1906,9,12
1907,3,18
1908,6,15
1909,8,13
1910,2,19
1911,8,13
1912,-2,14
1913,-12,24
1914,-10,22
1915,6,15
1916,6,15
1917,6,15
1918,7,14
1919,4,17
1920,-17,20
1921,6,15
1922,-9,21
1923,7,14
1924,8,13
1925,3,9
1926,8,13
1927,7,14
1928,8,13
1929,4,17
1930,10,11
1931,-21,24
1932,-3,15
1933,-1,13
1934,-7,19
1935,-2,14
1936,10,11
1937,1,20
1938,3,9
1939,7,14
1940,-4,16
1941,2,19
1942,-2,14
1943,5,16
1944,4,17
1945,-28,22
1946,6,15
1947,-11,14
1948,8,13
1949,4,17
1950,5,16
1951,6,15
1952,-5,17
1953,4,17
1954,-2,14
1955,-5,17
1956,-10,22
1957,2,10
1958,4,17
1959,-2,23
1960,10,11
1961,1,20
1962,3,18
1963,7,14
1964,6,15
1965,6,15
1966,10,11
1967,-8,20
1968,-5,17
1969,-1,13
1970,-13,16
1971,-3,15
1972,-8,20
1973,8,13
1974,6,15
1975,11,10
1976,-6,18
1977,0,12
1978,8,13
1979,8,13
1980,11,10
1981,2,19
1982,0,21
1983,8,13
1984,10,11
1985,4,17
1986,11,10
1987,6,15
1988,-11,14
1989,5,16
1990,7,14
1991,-7,19
1992,-5,17
1993,8,13
1994,-3,15
1995,-5,17
1996,-16,19
