episode,reward,steps
1404,-3,24
1405,-61,46
1406,-32,26
1407,8,13
1408,-24,36
1409,-31,25
1410,8,13
1411,-5,17
1412,-47,32
1413,8,13
1414,11,10
1415,-8,20
1416,-21,24
1417,-2,14
1418,3,18
1419,-9,12
1420,-23,17
1421,-71,47
1422,-35,20
1423,-2,14
1424,-43,28
1425,-10,22
1426,4,17
1427,-20,32
1428,-18,21
1429,-21,15
1430,-4,16
1431,-12,24
1432,-14,17
1433,9,12
1434,-90,39
1435,-1,13
1436,0,12
1437,-40,25
1438,-42,27
1439,-17,20
1440,-10,22
1441,-10,22
1442,-13,25
1443,-42,27
1444,-25,19
1445,-11,14
1446,-44,29
1447,-2,23
1448,-30,33
1449,3,18
1450,-2,14
1451,-53,29
1452,-27,30
1453,-26,20
1454,-53,38
1455,0,12
1456,-15,18
1457,-23,26
1458,10,11
1459,-6,18
1460,-103,61
1461,-20,23
1462,7,14
1463,-5,17
1464,-13,25
1465,-39,24
1466,-77,35
1467,6,15
1468,-34,37
1469,-92,59
1470,4,17
1471,1,11
1472,-17,20
1473,-11,23
1474,-6,18
1475,-11,14
1476,4,17
1477,-8,20
1478,-3,15
1479,-7,19
1480,6,15
1481,-9,21
1482,-86,62
1483,0,12
1484,-30,15
1485,-27,21
1486,-41,26
1487,2,19
1488,-1,13
1489,-16,19
1490,-15,18
1491,-9,21
1492,-25,19
1493,-34,28
1494,-14,17
1495,-50,35
1496,-22,16
1497,-9,12
1498,-16,19
1499,-31,25
1500,-41,26
1501,-7,19
1502,-44,29
1503,12,9
1504,-38,32
1505,13,8
1506,-71,47
1507,9,12
1508,-41,35
1509,-10,22
1510,-17,11
1511,-18,12
1512,-24,27
1513,-9,21
1514,-18,21
1515,-2,23
1516,-25,28
1517,4,17
1518,-35,20
1519,-24,27
1520,-35,20
1521,-23,17
1522,-28,22
1523,-23,17
1524,-21,24
1525,-13,34
1526,-26,29
1527,-8,20
1528,-26,20
1529,-25,28
1530,-39,24
1531,-28,31
1532,8,13
1533,-7,19
1534,-16,19
1535,7,14
1536,-33,27
1537,-3,15
1538,-56,23
1539,-6,18
1540,-6,18
1541,-50,35
1542,15,6
1543,1,20
1544,-24,27
1545,11,10
1546,-32,26
1547,-10,22
1548,5,16
1549,-17,11
1550,-3,15
1551,-27,21
1552,-42,27
1553,-8,29
1554,-76,43
1555,1,20
1556,-14,17
1557,10,11
1558,-12,24
1559,-16,19
1560,-7,28
1561,-4,16
1562,-9,21
1563,-28,22
1564,-12,15
1565,-19,22
1566,-46,31
1567,-25,28
1568,11,10
1569,-2,14
1570,-3,15
1571,-2,14
1572,7,14
1573,-3,15
1574,-21,15
1575,-12,24
1576,-23,26
1577,-63,30
1578,-17,20
1579,-25,28
1580,-56,32
1581,-18,21
1582,9,12
1583,-18,21
1584,-46,31
1585,-6,18
1586,-17,20
1587,8,13
1588,-65,32
1589,-20,23
1590,-30,24
1591,-34,28
1592,-42,18
1593,2,19
1594,-30,42
1595,-24,27
1596,-14,17
1597,-1,13
1598,-2,14
1599,-8,20
1600,3,18
1601,5,16
1602,-37,22
1603,-12,24
1604,-19,22
1605,-27,21
1606,-11,23
1607,-49,34
1608,-2,23
1609,-39,24
1610,6,15
1611,-27,30
1612,-39,24
1613,12,9
1614,-106,46
1615,-13,25
1616,-79,28
1617,-3,15
1618,-7,19
1619,11,10
1620,-17,20
1621,4,17
1622,10,11
1623,-54,21
1624,11,10
1625,-36,39
1626,-39,33
1627,-47,32
1628,-20,23
1629,-72,30
1630,-42,36
1631,-57,33
1632,-39,33
1633,6,15
1634,-49,25
1635,-13,16
1636,-30,24
1637,-7,19
1638,-38,23
1639,6,15
1640,-14,17
1641,-54,39
1642,7,14
1643,-1,13
1644,9,12
1645,-32,26
1646,-1,13
1647,0,21
1648,-55,40
1649,-7,19
1650,-15,18
1651,-11,23
1652,4,17
1653,-86,35
1654,7,14
1655,-15,18
1656,8,13
1657,7,14
1658,-14,17
1659,-6,18
1660,-2,14
1661,12,9
1662,-21,24
1663,-10,22
1664,8,13
1665,-77,35
1666,-30,24
1667,-11,23
1668,-16,28
1669,-22,25
1670,-39,24
1671,-14,26
1672,5,16
1673,-37,22
1674,3,18
1675,-3,15
1676,-34,19
1677,-21,24
1678,-12,24
1679,-22,25
1680,-30,33
1681,-12,24
1682,-6,18
1683,2,19
1684,-43,28
1685,-26,29
1686,-27,21
1687,-11,23
1688,-11,23
1689,-86,35
1690,-42,27
1691,-31,25
1692,-7,19
1693,-16,19
1694,-17,20
1695,-23,26
1696,-10,22
1697,-16,19
1698,-7,19
1699,4,17
1700,-10,22
1701,3,18
1702,-1,13
1703,9,12
1704,-47,32
1705,-7,19
1706,-13,16
1707,-45,39
1708,-56,23
1709,13,8
1710,-81,30
1711,-20,23
1712,-12,15
1713,-12,24
1714,5,16
1715,-41,26
1716,-2,14
1717,-25,28
1718,4,17
1719,-45,21
1720,-11,23
1721,-17,29
1722,-28,22
1723,-24,27
1724,-48,33
1725,-29,23
1726,-7,10
1727,-12,15
1728,-2,23
1729,-10,22
1730,-31,25
1731,-3,15
1732,-14,17
1733,-1,13
1734,-3,15
1735,-22,16
1736,-16,28
1737,-12,15
1738,-4,16
1739,6,15
1740,10,11
1741,-1,13
1742,-7,19
1743,-13,16
1744,-21,24
1745,0,12
1746,10,11
1747,-12,24
1748,-65,32
1749,-52,37
1750,-4,16
1751,-9,21
1752,-9,12
1753,-7,19
1754,-5,17
1755,4,17
1756,-27,21
1757,-7,19
1758,-30,15
1759,-19,22
1760,-6,18
1761,0,12
1762,-14,17
1763,-18,21
1764,-31,25
1765,6,15
1766,-19,31
1767,-31,34
1768,-9,21
1769,-12,15
1770,-20,23
1771,-43,28
1772,1,11
1773,-4,16
1774,-33,27
1775,-25,19
1776,-5,17
1777,-18,21
1778,0,21
1779,-38,23
1780,-9,21
1781,-12,15
1782,-13,16
1783,-24,27
1784,-25,28
1785,-9,21
1786,4,17
1787,7,14
1788,5,16
1789,3,18
1790,-3,15
1791,-43,28
1792,-32,26
1793,6,15
1794,-20,14
1795,-108,48
1796,-4,16
1797,-32,26
1798,-45,30
1799,-7,19
1800,-21,24
1801,-11,23
1802,-12,15
1803,-18,21
1804,11,10
1805,-16,28
1806,-24,18
1807,-7,19
1808,-37,31
1809,-27,30
1810,-17,20
1811,-25,28
1812,-30,24
1813,-6,18
1814,-56,41
1815,-14,17
1816,-21,24
1817,-8,20
1818,-50,35
1819,-20,23
1820,-39,33
1821,-13,16
1822,-11,23
1823,-27,30
1824,-20,23
1825,9,12
1826,-23,26
1827,-10,22
1828,-47,41
1829,-54,30
1830,-24,36
1831,4,17
1832,10,11
1833,-15,18
1834,-29,23
1835,-14,17
1836,-31,25
1837,-21,24
1838,-7,19
1839,-28,31
1840,3,9
1841,-16,19
1842,-45,21
1843,12,9
1844,-16,19
1845,-22,25
1846,10,11
1847,-26,29
1848,6,15
1849,-17,29
1850,15,6
1851,-28,22
1852,5,16
1853,5,16
1854,-30,24
1855,-24,27
1856,-17,20
1857,-42,27
1858,-37,22
1859,0,21
1860,-24,18
1861,-6,18
1862,-31,16
1863,11,10
1864,11,10
1865,0,21
1866,6,15
1867,5,16
1868,4,17
1869,-27,30
1870,-35,29
1871,-27,21
1872,-16,19
1873,-21,24
1874,-12,15
1875,-6,18
1876,-24,18
1877,-24,18
1878,-5,17
1879,-6,18
1880,3,18
1881,-3,15
1882,-47,23
1883,-34,28
1884,12,9
1885,-24,27
1886,2,19
1887,-13,16
1888,11,10
1889,0,21
1890,-70,37
1891,-16,19
1892,7,14
1893,-43,19
1894,6,15
1895,-49,25
1896,-18,21
1897,-1,13
1898,-57,33
1899,-28,22
1900,11,10
