episode,reward,steps
1124,-20,23
1125,4,17
1126,10,11
1127,8,13
1128,7,14
1129,2,10
1130,10,11
1131,1,20
1132,-27,21
1133,-16,19
1134,5,16
1135,0,12
1136,6,15
1137,10,11
1138,1,11
1139,6,15
1140,7,14
1141,4,17
1142,-4,25
1143,10,11
1144,0,12
1145,-7,19
1146,2,19
1147,-14,17
1148,5,16
1149,-3,15
1150,6,15
1151,6,15
1152,-12,24
1153,3,18
1154,1,11
1155,10,11
1156,-18,21
1157,11,10
1158,0,21
1159,-4,25
1160,-22,16
1161,-1,13
1162,4,17
1163,10,11
1164,-3,24
1165,-10,13
1166,-6,18
1167,-6,18
1168,8,13
1169,8,13
1170,7,14
1171,6,15
1172,5,16
1173,5,16
1174,-17,20
1175,2,10
1176,1,20
1177,-5,17
1178,-4,16
1179,7,14
1180,10,11
1181,9,12
1182,6,15
1183,-1,13
1184,-5,17
1185,2,10
1186,8,13
1187,-3,15
1188,8,13
1189,7,14
1190,-4,25
1191,7,14
1192,6,15
1193,-6,18
1194,6,15
1195,-8,20
1196,8,13
1197,7,14
1198,11,10
1199,8,13
1200,-18,21
1201,-1,13
1202,12,9
1203,2,19
1204,4,17
1205,11,10
1206,2,19
1207,9,12
1208,7,14
1209,-3,15
1210,4,17
1211,8,13
1212,9,12
1213,8,13
1214,-13,25
1215,-13,16
1216,-8,20
1217,-4,16
1218,-3,15
1219,6,15
1220,-5,17
1221,5,16
1222,7,14
1223,-4,16
1224,12,9
1225,1,20
1226,4,17
1227,12,9
1228,-7,19
1229,11,10
1230,-16,19
1231,11,10
1232,9,12
1233,12,9
1234,-6,18
1235,9,12
1236,3,18
1237,-4,16
1238,-3,15
1239,6,15
1240,7,14
1241,-6,18
1242,-6,18
1243,7,14
1244,10,11
1245,8,13
1246,-5,17
1247,10,11
1248,7,14
1249,-7,19
1250,2,19
1251,2,10
1252,4,17
1253,-7,19
1254,3,18
1255,-2,14
1256,-5,17
1257,-6,18
1258,14,7
1259,5,16
1260,9,12
1261,10,11
1262,1,20
1263,5,16
1264,1,20
1265,3,18
1266,-8,20
1267,4,17
1268,8,13
1269,-6,18
1270,6,15
1271,8,13
1272,-4,25
1273,0,12
1274,8,13
1275,10,11
1276,8,13
1277,-1,13
1278,-20,14
1279,-7,19
1280,9,12
1281,-5,17
1282,-1,13
1283,12,9
1284,10,11
1285,10,11
1286,13,8
1287,3,18
1288,-2,14
1289,8,13
1290,13,8
1291,-9,21
1292,0,12
1293,-1,13
1294,-1,13
1295,-7,19
1296,-16,19
1297,6,15
1298,5,16
1299,8,13
1300,-3,15
1301,5,16
1302,1,20
1303,1,11
1304,10,11
1305,-9,12
1306,8,13
1307,-3,15
1308,10,11
1309,5,16
1310,12,9
1311,-30,15
1312,5,16
1313,5,16
1314,9,12
1315,6,15
1316,2,19
1317,5,16
1318,9,12
1319,8,13
1320,0,21
1321,2,19
1322,-7,19
1323,2,19
1324,-3,15
1325,7,14
1326,-4,16
1327,-7,19
1328,1,11
1329,-14,17
1330,6,15
1331,9,12
1332,7,14
1333,-3,15
1334,6,15
1335,4,17
1336,8,13
1337,-18,21
1338,4,17
1339,9,12
1340,5,16
1341,10,11
1342,6,15
1343,12,9
1344,10,11
1345,7,14
1346,-13,16
1347,2,19
1348,-7,19
1349,-2,14
1350,7,14
1351,4,17
1352,14,7
1353,4,17
1354,9,12
1355,15,6
1356,-3,15
1357,3,18
1358,5,16
1359,9,12
1360,9,12
1361,-13,25
1362,1,20
1363,-5,17
1364,-17,20
1365,-15,18
1366,9,12
1367,6,15
1368,4,17
1369,-16,19
1370,5,16
1371,7,14
1372,13,8
1373,8,13
1374,6,15
1375,-9,21
1376,6,15
1377,5,16
1378,2,19
1379,11,10
1380,1,20
1381,6,15
1382,6,15
1383,8,13
1384,4,17
1385,5,16
1386,7,14
1387,7,14
1388,13,8
1389,12,9
1390,6,15
1391,0,21
1392,1,20
1393,-1,13
1394,2,19
1395,1,20
1396,-4,16
1397,-21,24
1398,0,12
1399,5,16
1400,12,9
1401,7,14
1402,6,15
1403,-6,18
1404,3,18
1405,7,14
1406,-12,15
1407,6,15
1408,10,11
1409,-3,15
1410,-6,18
1411,3,18
1412,6,15
1413,6,15
1414,10,11
1415,-2,23
1416,6,15
1417,5,16
1418,8,13
1419,-3,15
1420,8,13
1421,12,9
1422,-15,18
1423,2,19
1424,-10,22
1425,6,15
1426,-16,19
1427,9,12
1428,7,14
1429,10,11
1430,-10,22
1431,7,14
1432,3,18
1433,0,12
1434,-10,13
1435,8,13
1436,12,9
1437,-1,13
1438,9,12
1439,7,14
1440,9,12
1441,9,12
1442,3,18
1443,-2,14
1444,8,13
1445,-18,21
1446,6,15
1447,14,7
1448,0,12
1449,4,17
1450,2,10
1451,10,11
1452,0,21
1453,6,15
1454,7,14
1455,6,15
1456,4,17
1457,5,16
1458,8,13
1459,4,17
1460,3,18
1461,7,14
1462,6,15
1463,-1,13
1464,-2,14
1465,-3,15
1466,9,12
1467,5,16
1468,3,18
1469,9,12
1470,8,13
1471,8,13
1472,8,13
1473,1,20
1474,-5,17
1475,10,11
1476,-2,14
1477,8,13
1478,7,14
1479,-4,16
1480,-14,17
1481,10,11
1482,-2,14
1483,4,17
1484,-1,13
1485,10,11
1486,-6,18
1487,7,14
1488,-5,17
1489,8,13
1490,5,16
1491,4,17
1492,10,11
1493,6,15
1494,-3,24
1495,10,11
1496,9,12
1497,-2,14
1498,9,12
1499,-4,16
1500,2,10
1501,9,12
1502,4,17
1503,11,10
1504,8,13
1505,-8,20
1506,11,10
1507,5,16
1508,10,11
1509,-7,19
1510,3,18
1511,10,11
1512,-9,21
1513,3,18
1514,9,12
1515,-3,15
1516,10,11
1517,7,14
1518,-12,15
1519,-4,16
1520,4,17
1521,3,18
1522,8,13
1523,6,15
1524,4,17
1525,10,11
1526,-6,18
1527,5,16
1528,7,14
